Marca;Modelo;Comb;Faixa;Ano;Valor;Nome
NISSAN ;GT R PREMIUM;G;>100;2018;780.124;GT
VOLVO ;MPOLO PARADISO LD;D;>100;2021;719.835;MPOLO
BMW ;X5 M50D;D;>100;2021;651.495;X5
AUDI ;Q8 3.0 TFSI;G;>100;2021;592.081;Q8
JEEP ;WRANGLER UNL RUBI;G;>100;2021;466.462;WRANGLER
CHEV ;CAMARO 2SS CONV;G;>100;2021;451.125;CAMARO
VW ;MPOLO IDEALE R;D;>100;2021;428.111;MPOLO
JAGUAR ;F TYPE 300RD CP;G;>100;2021;398.211;F
CHEVROLET ;CAMARO 2SS;G;>100;2021;382.810;CAMARO
FORD ;MUSTANG GT;G;>100;2021;365.216;MUSTANG
DODGE ;VIPER SRT 10;G;>100;2013;356.308;VIPER
KIA ;G CARNIVAL EX 3.3;G;>100;2021;330.266;G
GM ;SILVERADO 2500 HD;D;>100;2017;319.696;SILVERADO
TOYOTA ;HILUX SWDMDA4JD;D;>100;2021;312.441;HILUX
HYUNDAI ;SANTA FE 3.5;D;>100;2019;245.681;SANTA
FIAT ;DUCATO GREENC PAS;D;>100;2021;233.022;DUCATO
HONDA ;ACCORD TOURING;G;>100;2021;232.079;ACCORD
PEUGEOT ;5008 GRIFFE AT;G;>100;2021;215.817;5008
RENAULT ;MASTER MBUS L3H2;D;>100;2021;184.833;MASTER
CITROEN ;JUMPY EUROLAF;D;>100;2021;143.568;JUMPY
GMC ;SIERRA 2500HD DENA;D;>100;2011;129.585;SIERRA
CHERY ;TIGGO2 1.5 AT ACT;G;<80;2021;76.844;TIGGO2
